Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Scattering,"Dem., Oak","Rep., Oak.",Oak,Pathfinders,State Rights,"Dem., Oak., Nonp.",Am. Lab.,"Dem., Am Lab","Rep., Am. Lab.","Am. Lab., Rep.",Town.,"Dem., Rep.","Rep., Dem., Prog., Town.","Dem., Prog.","Rep., Dem., Prog.","Dem., Prog. Town.","Rep., Dem.","Rep., Town.",Ind. Prog.,"Rep., Union","Dem., Union",Soc.-Lab.,Lab.,Communist,Ind.,Unaffiliated,Prog.,Farm-Lab.,Union,Lab. MD,Nat. Prohib,Town. Pension-Labor,Indus. Govt.,Pathfinders,Ind. Town. Rep.,Ind. Com.,Ind. Soc.-Lab.,Ind. Rep.,Prog. Lab.,Const. Dem.,Common.,Roose. Lib. Ind.,Roose. Ind.,Independent Peoples,Farmer's Laborer's Friend,Prog. Ind.,Kenney,Liberal Lab. Choice,Soc. Workers,Create Steady Employment,Citizens' Ind.,"Andrew Jackson, Rep.","Am. Lab., Soc.","Dem., City Fusion",Freedom,"Rep., Soc.","Am. Lab, Town.","Dem., Am Lab., General Welfare","Dem., Am. Lab., Soc.",Indus. Gvt.,"Dem., Oak, Prohib.","Rep., Prohib., Nonp.","Dem., Ind. Citizen, Nonp.","Rep., Good Gvt.",Ind. Soc.
1938,IL,Representative,12,43631,67326,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,13,23708,45177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,14,41682,44243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,15,39779,47703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,16,35081,61012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,17,29023,45235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,18,45961,56587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,19,55956,59446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,20,37184,29907,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,21,52173,51651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,22,66743,60518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,23,49537,42572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,24,40633,38889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,25,59203,53999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,At Large,3133153,2929167,18147,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IN,Representative,1,56630,46370,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IN,Representative,2,57860,79304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
